date,reg_rider,reg_driver,rider_to_driver_ratio
2025-07-05,148,14,10.571428571428571
2025-07-06,156,11,14.181818181818182
2025-07-07,165,13,12.692307692307692
2025-07-08,147,14,10.5
2025-07-09,149,14,10.642857142857142
2025-07-10,130,16,8.125
2025-07-11,160,15,10.666666666666666
2025-07-12,152,13,11.692307692307692
2025-07-13,158,11,14.363636363636363
2025-07-14,145,29,5.0
2025-07-15,155,31,5.0
2025-07-16,147,34,4.323529411764706
2025-07-17,188,15,12.533333333333333
2025-07-18,441,9,49.0
2025-07-19,241,33,7.303030303030303
2025-07-20,196,6,32.666666666666664
2025-07-21,184,15,12.266666666666667
2025-07-22,187,22,8.5
2025-07-23,199,25,7.96
2025-07-24,265,31,8.548387096774194
2025-07-25,189,14,13.5
2025-07-26,223,26,8.576923076923077
2025-07-27,156,22,7.090909090909091
2025-07-28,140,11,12.727272727272727
2025-07-29,127,18,7.055555555555555
2025-07-30,170,13,13.076923076923077
2025-07-31,145,15,9.666666666666666
2025-08-01,145,15,9.666666666666666
2025-08-02,151,24,6.291666666666667
2025-08-03,182,8,22.75
2025-08-04,371,22,16.863636363636363
2025-08-05,164,14,11.714285714285714
2025-08-06,151,12,12.583333333333334
2025-08-07,442,14,31.571428571428573
2025-08-08,178,4,44.5
2025-08-09,576,5,115.2
2025-08-10,302,2,151.0
2025-08-11,339,3,113.0
2025-08-12,180,5,36.0
2025-08-13,210,1,210.0
2025-08-14,195,6,32.5
2025-08-15,175,5,35.0
2025-08-16,148,9,16.444444444444443
2025-08-17,189,4,47.25
2025-08-18,248,3,82.66666666666667
2025-08-19,174,2,87.0
2025-08-20,151,2,75.5
2025-08-21,125,4,31.25
2025-08-22,123,32,3.84375
2025-08-23,127,18,7.055555555555555
2025-08-24,119,19,6.2631578947368425
2025-08-25,129,14,9.214285714285714
2025-08-26,153,9,17.0
2025-08-27,116,12,9.666666666666666
2025-08-28,110,18,6.111111111111111
2025-08-29,114,13,8.76923076923077
2025-08-30,126,17,7.411764705882353
2025-08-31,133,8,16.625
2025-09-01,130,9,14.444444444444445
2025-09-02,160,10,16.0
2025-09-03,114,11,10.363636363636363
2025-09-04,114,8,14.25
2025-09-05,130,11,11.818181818181818
2025-09-06,116,7,16.571428571428573
2025-09-07,115,17,6.764705882352941
2025-09-08,127,15,8.466666666666667
2025-09-09,131,10,13.1
2025-09-10,128,11,11.636363636363637
2025-09-11,222,19,11.68421052631579
2025-09-12,112,13,8.615384615384615
2025-09-13,183,20,9.15
2025-09-14,175,8,21.875
2025-09-15,156,16,9.75
